title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
Jack the Giant Slayer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,101.37825794871796,New Line Cinema,Original Film,Lavinia Waters,Bryan Singer,John Ottman,Nicholas Hoult,Eleanor Tomlinson,3,3,0,2,3,"Action,Family,Fantasy",6,4,1,0
Prince of Persia: The Sands of Time,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",2,223.43642866666667,Walt Disney Pictures,Jerry Bruckheimer Films,Peter Lindsay,Mike Newell,Martin Walsh,Jake Gyllenhaal,Gemma Arterton,6,4,0,2,5,"Adventure,Fantasy,Action,Romance",6,3,4,0
Pacific Rim,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",2,226.4460588888889,Legendary Pictures,Warner Bros.,Erik Classen,Guillermo del Toro,John Gilroy,Idris Elba,Charlie Hunnam,3,3,0,6,3,"Action,Science Fiction,Adventure",6,6,2,0
Transformers: Dark of the Moon,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",4,576.2805107692308,Paramount Pictures,Di Bonaventura Pictures,Brian Avery,Michael Bay,Joel Negron,Shia LaBeouf,John Malkovich,4,4,2,4,4,"Action,Science Fiction,Adventure",6,2,3,1
Indiana Jones and the Kingdom of the Crystal Skull,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",3,425.2086664864865,Lucasfilm,Paramount Pictures,Clay Cullen,Steven Spielberg,Michael Kahn,Harrison Ford,Cate Blanchett,6,6,4,3,6,"Adventure,Action",6,6,7,3
Star Trek Beyond,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,185.66044108108107,Paramount Pictures,Bad Robot,Josh Henson,Justin Lin,Dylan Highsmith,Chris Pine,Zachary Quinto,4,3,0,2,4,"Action,Adventure,Science Fiction",6,0,2,0
WALL·E,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,289.61769999999996,Walt Disney Pictures,Pixar Animation Studios,Terry Claborn,Andrew Stanton,Stephen Schaffer,Ben Burtt,Elissa Knight,5,3,0,4,4,"Animation,Family",6,5,1,0
Rush Hour 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2,184.30159500000002,New Line Cinema,,John Bruno,Brett Ratner,Don Zimmerman,Chris Tucker,Jackie Chan,3,3,3,3,4,"Action,Comedy,Crime,Thriller",6,6,1,2
2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,384.8267975,Columbia Pictures,Centropolis Entertainment,Sabine Varnes,Roland Emmerich,Peter S. Elliot,John Cusack,Amanda Peet,5,3,0,3,4,"Action,Adventure,Science Fiction",5,2,4,0
Jupiter Ascending,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,104.53847719536687,Village Roadshow Pictures,Dune Entertainment,Ben Wilson,Lana Wachowski,Alexander Berner,Mila Kunis,Channing Tatum,4,5,6,2,3,"Science Fiction,Fantasy,Action,Adventure",5,4,1,2
