title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
Nacho Libre,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,250.618728125,Paramount Pictures,Nickelodeon Movies,Jerusha Hess,Jared Hess,Billy Weber,Jack Black,Ana de la Reguera,6,3,0,3,6,"Comedy,Family",6,3,3,0
Bridesmaids,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",4,887.3339169230769,Universal Pictures,Relativity Media,Donald Frazee,Paul Feig,Michael L. Sale,Kristen Wiig,Rose Byrne,4,4,0,4,4,"Comedy,Romance",6,4,1,0
This Is the End,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",3,393.87913125,Columbia Pictures,Mandate Pictures,Jack Dolman,Evan Goldberg,Zene Baker,James Franco,Jonah Hill,3,4,4,3,6,"Action,Comedy",5,2,3,2
Stigmata,"[{""id"": 27, ""name"": ""Horror""}]",2,172.55769655172415,FGM Entertainment,Metro-Goldwyn-Mayer (MGM),Joyce Kogut,Rupert Wainwright,Michael J. Duthie,Patricia Arquette,Gabriel Byrne,2,2,2,2,3,Horror,2,6,1,1
Men of Honor,"[{""id"": 18, ""name"": ""Drama""}]",2,152.546590625,Fox 2000 Pictures,,John Carter,"George Tillman, Jr.",John Carter,Robert De Niro,Cuba Gooding Jr.,2,6,3,4,4,Drama,6,6,7,2
The Big Wedding,"[{""id"": 35, ""name"": ""Comedy""}]",1,62.34099428571429,Millenium Films,Two Ton Films,Karine Sudan,Justin Zackham,Jon Corn,Robert De Niro,Diane Keaton,1,6,0,1,1,Comedy,1,3,7,0
"Big Mommas: Like Father, Like Son","[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",3,261.29816875,Twentieth Century Fox Film Corporation,Regency Enterprises,David Parker,John Whitesell,Priscilla Nedd-Friendly,Martin Lawrence,Brandon T. Jackson,3,4,0,3,6,"Crime,Comedy,Action",6,4,2,0
Source Code,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",3,460.41467812499997,The Mark Gordon Company,Vendome Pictures,Anthony Di Ninno,Duncan Jones,Paul Hirsch,Jake Gyllenhaal,Michelle Monaghan,3,4,2,3,6,"Thriller,Science Fiction,Mystery",3,0,4,0
Alive,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2,114.793465625,Paramount Pictures,Touchstone Pictures,J.J. Makaro,Frank Marshall,William Goldenberg,Ethan Hawke,Vincent Spano,3,6,0,4,6,"Action,Adventure,Drama,Thriller",6,6,4,0
The Number 23,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",3,258.55605,New Line Cinema,Contrafilm,Daniel B. Clancy,Joel Schumacher,Mark Stevens,Jim Carrey,Virginia Madsen,4,6,0,3,4,"Thriller,Drama,Mystery",6,0,7,0
The Young and Prodigious T.S. Spivet,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1,28.77208787878788,Epithète Films,Cross Creek Pictures,Denis Sanacore,Jean-Pierre Jeunet,Hervé Schneid,Kyle Catlett,Helena Bonham Carter,6,1,2,1,6,"Adventure,Drama,Family",1,0,1,0
1941,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",1,90.73069142857143,Columbia Pictures,Universal Pictures,William F. O'Brien,Steven Spielberg,Michael Kahn,Dan Aykroyd,Ned Beatty,6,3,0,1,6,"Action,Comedy",5,6,2,0
A History of Violence,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,189.815084375,New Line Cinema,DC Comics,Heather Meehan,David Cronenberg,Ronald Sanders,Viggo Mortensen,Maria Bello,2,2,2,2,2,"Drama,Thriller,Crime",6,4,2,1
Transporter 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3,266.148871875,Canal Plus,Twentieth Century Fox Film Corporation,Luca Marco Paracels,Louis Leterrier,Vincent Tabaillon,Jason Statham,Amber Valletta,3,4,2,4,3,"Action,Thriller,Crime",3,6,4,0
The Quick and the Dead,"[{""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}]",1,57.9764375,TriStar Pictures,,Joshua Donen,Sam Raimi,Pietro Scalia,Sharon Stone,Gene Hackman,6,1,6,1,6,"Action,Western",4,6,1,2
Laws of Attraction,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",2,107.20058928571427,New Line Cinema,Irish Dreamtime,Bernadette Dooley,Peter Howitt,Tony Lawson,Pierce Brosnan,Julianne Moore,5,4,5,2,2,"Action,Comedy,Romance,Thriller",6,3,4,3
Repo Men,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1,57.53090937499999,Universal Pictures,Stuber Productions,Donald Mowat,Miguel Sapochnik,Richard Francis-Bruce,Jude Law,Forest Whitaker,1,2,4,1,5,"Action,Science Fiction,Thriller,Crime",6,3,3,2
Dragon Wars: D-War,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,76.55343428571429,Younggu-Art Movies,Showbox Entertainment,Brian Avery,Shim Hyung-Rae,Timothy Alverson,Jason Behr,Robert Forster,2,1,0,4,5,"Fantasy,Drama,Horror,Action,Thriller,Science Fiction",1,0,1,0
The Incredible Burt Wonderstone,"[{""id"": 35, ""name"": ""Comedy""}]",1,91.45960333333333,New Line Cinema,Benderspink,Anita Cabada,Don Scardino,Lee Haxall,Steve Carell,Jim Carrey,1,5,6,1,3,Comedy,6,0,3,7
The Good German,"[{""id"": 10752, ""name"": ""War""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1,18.484087499999998,Warner Bros.,Section Eight Productions,Joe Hill,Steven Soderbergh,Steven Soderbergh,George Clooney,Cate Blanchett,6,4,4,1,6,"War,Crime,Drama,Mystery,Romance,Thriller",6,0,8,3
Apocalypse Now,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",3,284.00120952380956,United Artists,Zoetrope Studios,Tony Brandt,Francis Ford Coppola,Gerald B. Greenberg,Martin Sheen,Marlon Brando,6,3,6,3,6,"Drama,War",6,0,1,2
Going the Distance,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,131.39326875,New Line Cinema,Offspring Entertainment,Michael Queen,Nanette Burstein,Peter Teschner,Drew Barrymore,Justin Long,2,4,0,3,4,"Comedy,Drama,Romance",6,0,3,0
Criminal,"[{""id"": 28, ""name"": ""Action""}]",1,46.694273015873016,Lionsgate,BenderSpink,Jason Potter,Ariel Vromen,Danny Rafic,Kevin Costner,Gary Oldman,1,6,4,1,1,Action,6,0,6,2
Out of Africa,"[{""id"": 18, ""name"": ""Drama""}]",3,414.51356451612907,Universal Pictures,Mirage Entertainment,David Harris,Sydney Pollack,Fredric Steinkamp,Meryl Streep,Robert Redford,4,5,3,3,4,Drama,6,0,5,3
Flight,"[{""id"": 18, ""name"": ""Drama""}]",4,521.846370967742,Paramount Pictures,Parkes/MacDonald Productions,Alex Madison,Robert Zemeckis,Jeremiah O'Driscoll,Denzel Washington,Don Cheadle,6,4,2,4,4,Drama,6,0,8,1
Moonraker,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,618.5532323529411,United Artists,Eon Productions,Bob Simmons,Lewis Gilbert,John Glen,Roger Moore,Lois Chiles,6,6,0,4,6,"Action,Adventure,Thriller,Science Fiction",6,6,3,0
The Grand Budapest Hotel,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",4,582.0010599999999,Fox Searchlight Pictures,Scott Rudin Productions,Jan Brun,Wes Anderson,Barney Pilling,Ralph Fiennes,Tony Revolori,4,4,0,4,4,"Comedy,Drama",6,3,2,0
Hearts in Atlantis,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",1,78.01864838709677,Castle Rock Entertainment,,Pip Karmel,Scott Hicks,Pip Karmel,Anthony Hopkins,Anton Yelchin,3,4,6,1,3,"Drama,Mystery",4,6,3,1
Arachnophobia,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",2,171.63929032258065,Amblin Entertainment,Hollywood Pictures,Richard Vane,Frank Marshall,Michael Kahn,Jeff Daniels,Harley Jane Kozak,3,4,0,6,6,"Comedy,Horror",6,3,1,0
Frequency,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,219.69756451612903,New Line Cinema,,Lilene Mansell,Gregory Hoblit,David Rosenbloom,Dennis Quaid,Jim Caviezel,2,3,6,2,3,"Crime,Drama,Science Fiction,Thriller",6,6,3,1
Vacation,"[{""id"": 35, ""name"": ""Comedy""}]",3,336.72318709677415,New Line Cinema,BenderSpink,Tammy Fearing,Jonathan M. Goldstein,Jamie Gross,Ed Helms,Christina Applegate,3,3,0,3,3,Comedy,6,0,1,0
Chicago,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",4,681.7260711111112,Miramax Films,Producers Circle,Bob Fosse,Rob Marshall,Martin Walsh,Catherine Zeta-Jones,Renée Zellweger,4,4,5,4,5,"Action,Comedy,Crime,Drama,Music",6,0,1,2
Big Daddy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",4,686.5552485380117,Columbia Pictures,,Stephen Lotwis,Dennis Dugan,Jeff Gourson,Adam Sandler,Joey Lauren Adams,4,4,0,4,4,"Comedy,Drama",5,6,6,0
American Pie 2,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",5,958.5119833333333,Universal Pictures,Liveplanet,Michelle Branch,J.B. Rogers,Larry Madaras,Jason Biggs,Thomas Ian Nicholas,5,6,0,5,5,"Comedy,Romance",6,0,2,0
Toy Story,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",5,1245.18011,Pixar Animation Studios,,Susan Popovic,John Lasseter,Robert Gordon,Tom Hanks,Tim Allen,5,5,4,5,5,"Animation,Comedy,Family",5,6,8,3
Speed,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",5,1168.1604833333333,Twentieth Century Fox Film Corporation,,K.C. Fox,Jan de Bont,John Wright,Keanu Reeves,Dennis Hopper,5,5,2,5,6,"Action,Adventure,Crime",6,6,5,1
Extraordinary Measures,"[{""id"": 18, ""name"": ""Drama""}]",1,48.8203,Double Feature Films,CBS Films,John Richardson,Tom Vaughan,Anne V. Coates,Harrison Ford,Brendan Fraser,3,6,3,1,4,Drama,3,0,7,3
Remember the Titans,"[{""id"": 18, ""name"": ""Drama""}]",3,455.6889433333334,Walt Disney Pictures,Jerry Bruckheimer Films,Deborah Evans,Boaz Yakin,Michael Tronick,Denzel Washington,Will Patton,3,4,0,3,6,Drama,6,3,8,0
The Hunt for Red October,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",4,664.0,Paramount Pictures,Nina Saxon Film Design,Jerry Sherlock,John McTiernan,John Wright,Alec Baldwin,Sean Connery,4,4,6,4,6,"Action,Adventure,Thriller",6,0,1,5
The Butler,"[{""id"": 18, ""name"": ""Drama""}]",3,463.6887,Laura Ziskin Productions,Lee Daniels Entertainment,Mickey Lambert,Lee Daniels,Joe Klotz,Forest Whitaker,David Banner,3,4,0,3,3,Drama,3,0,2,0
DodgeBall: A True Underdog Story,"[{""id"": 35, ""name"": ""Comedy""}]",4,838.6115500000001,Twentieth Century Fox Film Corporation,Red Hour Films,Nicki Johnson,Rawson Marshall Thurber,Peter Teschner,Vince Vaughn,Christine Taylor,4,4,0,4,4,Comedy,6,0,2,0
The Addams Family,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",4,638.34142,Paramount Pictures,Orion Pictures,Charles Addams,Barry Sonnenfeld,Jim Miller,Raúl Juliá,Anjelica Huston,4,4,0,4,4,"Horror,Comedy,Fantasy",6,6,1,0
Ace Ventura: When Nature Calls,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",4,707.9517766666667,O Entertainment,Morgan Creek Productions,J.J. Makaro,Steve Oedekerk,Malcolm Campbell,Jim Carrey,Ian McNeice,4,6,0,4,4,"Crime,Comedy,Adventure",4,2,7,0
The Princess Diaries,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",3,446.8517648648649,Walt Disney Pictures,BrownHouse Productions,Gina Wendkos,Garry Marshall,Bruce Green,Anne Hathaway,Julie Andrews,6,3,6,3,5,"Comedy,Family,Romance",6,0,2,1
The First Wives Club,"[{""id"": 35, ""name"": ""Comedy""}]",3,447.6923076923077,Scott Rudin Productions,,Stuart Stanley,Hugh Wilson,John Bloom,Goldie Hawn,Bette Midler,6,3,3,3,3,Comedy,3,6,1,2
Se7en,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",5,991.8541181818181,New Line Cinema,Juno Pix,Philip Rogers,David Fincher,Richard Francis-Bruce,Brad Pitt,Morgan Freeman,5,5,6,5,5,"Crime,Mystery,Thriller",6,0,6,4
District 9,"[{""id"": 878, ""name"": ""Science Fiction""}]",4,702.7320366666667,WingNut Films,TriStar Pictures,Ken Saville,Neill Blomkamp,Julian Clarke,Sharlto Copley,Jason Cope,4,4,0,4,6,Science Fiction,5,4,1,0
The SpongeBob SquarePants Movie,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,467.20597333333336,Paramount Pictures,Nickelodeon Movies,Terri Valazza,Stephen Hillenburg,Lynn Hobson,Tom Kenny,Clancy Brown,3,3,0,3,3,"Animation,Comedy,Family",6,3,1,0
Mystic River,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",4,627.28808,Village Roadshow Pictures,Malpaso Productions,Olivia Harris,Clint Eastwood,Joel Cox,Sean Penn,Tim Robbins,5,4,2,4,5,"Thriller,Crime,Drama,Mystery",5,5,3,1
Million Dollar Baby,"[{""id"": 18, ""name"": ""Drama""}]",4,722.5454866666666,Lakeshore Entertainment,Malpaso Productions,Jason Gondek,Clint Eastwood,Joel Cox,Clint Eastwood,Hilary Swank,5,6,4,4,5,Drama,4,5,4,2
Analyze This,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,221.1070725,Spring Creek Productions,Warner Bros.,Chris Brigham,Harold Ramis,Craig Herring,Robert De Niro,Billy Crystal,4,6,3,2,3,"Comedy,Crime",2,6,7,1
The Notebook,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",3,398.631824137931,New Line Cinema,,Bob Forrest,Nick Cassavetes,Alan Heim,Rachel McAdams,Ryan Gosling,3,4,4,3,4,"Romance,Drama",6,6,1,3
27 Dresses,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",4,534.19773,Spyglass Entertainment,Fox 2000 Pictures,Kate Bulpitt,Anne Fletcher,Priscilla Nedd-Friendly,Katherine Heigl,James Marsden,5,4,2,4,6,"Comedy,Romance",6,6,2,1
Hannah Montana: The Movie,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",3,444.41508285714286,Walt Disney Pictures,It's a Laugh Productions,Kate Best,Peter Chelsom,David Moritz,Miley Cyrus,Billy Ray Cyrus,3,3,0,3,4,"Comedy,Drama,Family,Music,Romance",6,0,1,0
Rugrats in Paris: The Movie,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,343.3333333333333,Paramount Pictures,Nickelodeon Movies,John Bryant,Stig Bergqvist,John Bryant,E.G. Daily,Susan Sarandon,3,3,3,3,3,"Adventure,Animation,Comedy,Family",6,3,1,1
The Prince of Tides,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,249.29199666666668,Columbia Pictures,,James T. Roe III,Barbra Streisand,Don Zimmerman,Nick Nolte,Barbra Streisand,3,2,3,2,4,"Drama,Romance",5,6,1,1
Legends of the Fall,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",4,535.4629433333333,Bedford Falls Productions,TriStar Pictures,J.J. Makaro,Edward Zwick,Steven Rosenblum,Brad Pitt,Anthony Hopkins,4,5,4,4,4,"Adventure,Drama,Romance,War",4,4,6,3
Up in the Air,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",4,654.6800000000001,Paramount Pictures,Rickshaw Productions,Steven Morrow,Jason Reitman,Dana E. Glauberman,George Clooney,Vera Farmiga,6,4,2,4,6,"Drama,Romance",6,0,8,1
About Schmidt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",3,352.78185333333334,New Line Cinema,Avery Pix,Carrie Angland,Alexander Payne,Kevin Tent,Jack Nicholson,Kathy Bates,4,6,0,3,4,"Drama,Comedy",6,0,3,0
Looper,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,156.80666666666667,Endgame Entertainment,FilmDistrict,Eleanor Nett,Rian Johnson,Bob Ducsay,Joseph Gordon-Levitt,Bruce Willis,2,4,6,2,3,"Action,Thriller,Science Fiction",6,1,3,8
Babe,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",4,847.1163666666667,Universal Pictures,Kennedy Miller Productions,Bill Miller,Chris Noonan,Jay Friedkin,Christine Cavanaugh,Miriam Margolyes,4,4,0,4,4,"Fantasy,Drama,Comedy,Family",6,6,1,0
Hope Springs,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,380.93683666666664,Columbia Pictures,Mandate Pictures,Mary Bailey,David Frankel,Steven Weisberg,Meryl Streep,Steve Carell,5,5,5,3,4,"Drama,Comedy,Romance",5,2,5,3
Forgetting Sarah Marshall,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",3,350.57705,Universal Pictures,Apatow Productions,Rodney Rothman,Nicholas Stoller,William Kerr,Jason Segel,Kristen Bell,6,3,4,3,4,"Comedy,Romance,Drama",6,3,2,2
Four Brothers,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",2,205.27705333333333,Paramount Pictures,Di Bonaventura Pictures,Rudy Braun,John Singleton,Billy Fox,Mark Wahlberg,Tyrese Gibson,4,5,2,2,4,"Action,Crime",6,2,7,1
Baby Mama,"[{""id"": 35, ""name"": ""Comedy""}]",2,212.77816333333334,Relativity Media,Michaels-Goldwyn,Louise Rosner-Meyer,Michael McCullers,Bruce Green,Tina Fey,Amy Poehler,2,3,3,2,5,Comedy,4,0,1,1
Without a Paddle,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",3,366.47956842105265,Paramount Pictures,De Line Pictures,Peter Tonks,Steven Brill,Peck Prior,Seth Green,Matthew Lillard,3,3,0,3,3,"Action,Adventure,Comedy,Thriller",6,3,1,0
13 Going on 30,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",3,260.69107297297296,Columbia Pictures,Revolution Studios,Don Steinberg,Gary Winick,Susan Littenberg,Jennifer Garner,Mark Ruffalo,6,3,4,3,6,"Comedy,Fantasy,Romance",5,3,1,1
Midnight in Paris,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",4,503.73073,Gravier Productions,Televisió de Catalunya (TV3),Thierry Baucheron,Woody Allen,Alisa Lepselter,Owen Wilson,Rachel McAdams,5,5,4,4,4,"Fantasy,Comedy,Romance",4,0,4,1
Blow,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2,157.13640754716982,New Line Cinema,,Keenan Wyatt,Ted Demme,Kevin Tent,Johnny Depp,Penélope Cruz,2,4,4,2,4,"Crime,Drama",6,6,8,1
Message in a Bottle,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2,148.60002,Bel Air Entertainment,DiNovi Pictures,Nicholas Sparks,Luis Mandoki,Steven Weisberg,Kevin Costner,Robin Wright,2,6,0,2,4,"Romance,Drama",2,3,6,0
Star Trek V: The Final Frontier,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2,234.0,Paramount Pictures,,Michael Wood,William Shatner,Peter E. Berger,William Shatner,Leonard Nimoy,2,6,0,3,4,"Science Fiction,Action,Adventure,Thriller",6,6,3,0
A View to a Kill,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",4,508.09319999999997,Eon Productions,,Michael G. Wilson,John Glen,Peter Davies,Roger Moore,Christopher Walken,4,6,2,4,4,"Adventure,Action,Thriller",6,6,3,2
The Curse of the Were-Rabbit,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",4,641.50944,Aardman Animations,DreamWorks Animation,Vanessa Baker,Steve Box,Angharad Owen,Peter Sallis,Helena Bonham Carter,4,4,2,4,4,"Adventure,Animation,Comedy,Family",4,3,1,0
P.S. I Love You,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",4,522.7844633333334,Wendy Finerman Productions,Alcon Entertainment,Cindy Evans,Richard LaGravenese,David Moritz,Hilary Swank,Gerard Butler,4,4,4,4,4,"Drama,Romance",4,5,2,4
Racing Stripes,"[{""id"": 35, ""name"": ""Comedy""}]",3,312.5750733333333,Alcon Entertainment,,Tom Finan,Frederik Du Chau,Tom Finan,Frankie Muniz,Mandy Moore,3,3,3,3,3,Comedy,5,6,2,1
Atonement,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,430.88687,Universal Pictures,Studio Canal,Deborah Harding,Joe Wright,Paul Tothill,Keira Knightley,James McAvoy,3,4,3,3,3,"Drama,Romance",6,1,2,2
Black Rain,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,152.97404,Paramount Pictures,Pegasus Film Partners,Anthony Goldschmidt,Ridley Scott,Tom Rolf,Michael Douglas,Andy García,5,6,2,2,4,"Action,Thriller,Crime",6,0,4,2
The Three Stooges,"[{""id"": 35, ""name"": ""Comedy""}]",2,182.73100333333335,Wessler Entertainment,,Sam Seig,Peter Farrelly,Sam Seig,Sean Hayes,Will Sasso,6,2,0,2,3,Comedy,2,6,1,0
Corpse Bride,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10402, ""name"": ""Music""}]",3,292.9876525,Tim Burton Animation Company,Will Vinton Studios,Tracy Shaw,Mike Johnson,Claire Dodgson,Johnny Depp,Helena Bonham Carter,3,4,2,3,6,"Romance,Fantasy,Animation,Music",3,0,8,0
Sicario,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,280.0860533333333,Lionsgate,Thunder Road Pictures,Luis Montemayor,Denis Villeneuve,Joe Walker,Emily Blunt,Benicio del Toro,3,3,2,3,5,"Action,Crime,Drama,Mystery,Thriller",6,0,1,1
Southpaw,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",3,305.69942333333336,Escape Artists,Riche-Ludwig Productions,Diane Collins,Antoine Fuqua,John Refoua,Jake Gyllenhaal,Rachel McAdams,3,4,4,3,5,"Action,Drama",3,0,4,1
Drag Me to Hell,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",3,302.7029733333333,Universal Pictures,Ghost House Pictures,Patrick Rousseau,Sam Raimi,Bob Murawski,Alison Lohman,Justin Long,6,3,0,3,4,"Horror,Thriller",6,6,1,0
The Age of Adaline,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,262.65310400000004,Lakeshore Entertainment,Sidney Kimmel Entertainment,Lisa Zagoria,Lee Toland Krieger,Melissa Kent,Blake Lively,Michiel Huisman,3,4,0,3,3,"Fantasy,Drama,Romance",4,2,2,0
